Gene % GC content	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene type	Gene stable ID
32.38	19018983	19019087	Y	snRNA	ENSG00000252766
39.91	19253960	19260875	Y	processed_pseudogene	ENSG00000274282
46.67	19327569	19328573	Y	processed_pseudogene	ENSG00000234529
49.76	17621259	17625832	Y	unprocessed_pseudogene	ENSG00000238191
40.56	17628513	17629402	Y	processed_pseudogene	ENSG00000226353
29.22	17705968	17708185	Y	unprocessed_pseudogene	ENSG00000275578
40.89	17721598	17723177	Y	unprocessed_pseudogene	ENSG00000226449
38.30	17726752	17727080	Y	processed_pseudogene	ENSG00000225896
40.49	17729528	17744596	Y	unprocessed_pseudogene	ENSG00000224166
55.02	17757001	17758125	Y	processed_pseudogene	ENSG00000229129
24.87	17782210	17784815	Y	unprocessed_pseudogene	ENSG00000223555
33.59	17788315	17789484	Y	unprocessed_pseudogene	ENSG00000235521
48.75	17789003	17789162	Y	snRNA	ENSG00000252513
37.77	17797983	17800696	Y	unprocessed_pseudogene	ENSG00000224964
36.17	17809807	17825329	Y	unprocessed_pseudogene	ENSG00000226011
36.59	17837201	17837528	Y	processed_pseudogene	ENSG00000225740
43.60	17882099	17883708	Y	unprocessed_pseudogene	ENSG00000229138
30.90	17908755	17910806	Y	unprocessed_pseudogene	ENSG00000224485
33.65	17912699	17921630	Y	unprocessed_pseudogene	ENSG00000226116
42.00	17951589	17953500	Y	unprocessed_pseudogene	ENSG00000237558
33.61	17984349	17993260	Y	unprocessed_pseudogene	ENSG00000233378
30.90	17995201	17997252	Y	unprocessed_pseudogene	ENSG00000237616
43.60	18022299	18023908	Y	unprocessed_pseudogene	ENSG00000224033
36.59	18068483	18068810	Y	processed_pseudogene	ENSG00000230412
37.58	18105314	18108102	Y	unprocessed_pseudogene	ENSG00000225895
33.53	18116527	18117695	Y	unprocessed_pseudogene	ENSG00000233120
48.75	18116848	18117007	Y	snRNA	ENSG00000252166
24.84	18121195	18123799	Y	unprocessed_pseudogene	ENSG00000232744
55.02	18147884	18149008	Y	processed_pseudogene	ENSG00000229465
40.51	18161366	18176484	Y	unprocessed_pseudogene	ENSG00000231311
38.30	18178932	18179260	Y	processed_pseudogene	ENSG00000236599
40.89	18182835	18184414	Y	unprocessed_pseudogene	ENSG00000232899
40.61	18276607	18277495	Y	processed_pseudogene	ENSG00000229302
49.78	18280178	18284761	Y	unprocessed_pseudogene	ENSG00000228945
51.88	18326253	18353210	Y	lncRNA	ENSG00000233522
56.67	18336960	18337049	Y	misc_RNA	ENSG00000278391
57.76	18346123	18346238	Y	rRNA_pseudogene	ENSG00000251953
57.52	18348035	18348147	Y	rRNA_pseudogene	ENSG00000252667
55.14	18386974	18389151	Y	unprocessed_pseudogene	ENSG00000249726
36.47	18440797	18441125	Y	processed_pseudogene	ENSG00000225716
36.11	18453150	18472137	Y	unprocessed_pseudogene	ENSG00000229406
32.44	18481087	18487400	Y	unprocessed_pseudogene	ENSG00000227494
46.30	18486511	18486672	Y	snRNA	ENSG00000252209
33.84	18490915	18494295	Y	unprocessed_pseudogene	ENSG00000249634
36.46	18491740	18547698	Y	lncRNA	ENSG00000251510
40.04	18508577	18509068	Y	unprocessed_pseudogene	ENSG00000238067
53.38	18529358	18529623	Y	unprocessed_pseudogene	ENSG00000233546
39.58	18532326	18532656	Y	processed_pseudogene	ENSG00000230377
31.95	18540980	18544128	Y	unprocessed_pseudogene	ENSG00000250951
36.11	18578417	18578560	Y	unprocessed_pseudogene	ENSG00000230458
38.47	18581206	18590521	Y	lncRNA	ENSG00000131007
38.42	18649671	18650279	Y	unprocessed_pseudogene	ENSG00000235479
31.59	18655520	18656190	Y	unprocessed_pseudogene	ENSG00000249606
38.75	18772706	19077416	Y	lncRNA	ENSG00000176728
35.26	19598188	19598757	Y	transcribed_processed_pseudogene	ENSG00000267793
32.33	19691941	19694606	Y	lncRNA	ENSG00000260197
38.66	19703865	19744939	Y	protein_coding	ENSG00000012817
39.22	18546691	18588963	Y	protein_coding	ENSG00000172468
51.18	3579067	3580041	Y	protein_coding	ENSG00000176679
36.92	22168542	22182982	Y	protein_coding	ENSG00000169800
44.23	18025787	18027746	Y	protein_coding	ENSG00000182415
36.63	23049247	23051195	Y	processed_pseudogene	ENSG00000233126
38.03	23058030	23059186	Y	processed_pseudogene	ENSG00000227251
50.17	7324297	7324595	Y	misc_RNA	ENSG00000252633
41.96	7341531	7341642	Y	misc_RNA	ENSG00000251996
47.22	7378672	7378779	Y	snRNA	ENSG00000252155
34.29	7423054	7423158	Y	snRNA	ENSG00000252472
50.68	6718962	6719180	Y	processed_pseudogene	ENSG00000224953
47.40	6789153	6789344	Y	processed_pseudogene	ENSG00000274365
44.69	6837707	6838252	Y	processed_pseudogene	ENSG00000233634
47.26	6900753	6901372	Y	processed_pseudogene	ENSG00000237701
41.47	6918682	6920791	Y	lncRNA	ENSG00000273906
38.60	24659337	24660406	Y	processed_pseudogene	ENSG00000232976
36.04	24683657	24684935	Y	processed_pseudogene	ENSG00000226270
38.18	24691791	24692932	Y	processed_pseudogene	ENSG00000227837
38.18	24977176	24978317	Y	unprocessed_pseudogene	ENSG00000278602
35.58	24985201	24986476	Y	processed_pseudogene	ENSG00000223978
38.60	25009700	25010769	Y	unprocessed_pseudogene	ENSG00000278197
35.16	25018499	25019303	Y	processed_pseudogene	ENSG00000230819
42.58	25030901	25062548	Y	protein_coding	ENSG00000185894
42.25	25063083	25099892	Y	lncRNA	ENSG00000228296
35.66	24833843	24907040	Y	protein_coding	ENSG00000205916
44.31	17878260	17880220	Y	protein_coding	ENSG00000129873
37.14	2784749	2784853	Y	snRNA	ENSG00000251841
46.62	2786855	2787682	Y	protein_coding	ENSG00000184895
64.94	2789827	2790328	Y	processed_pseudogene	ENSG00000237659
43.88	2827982	2828218	Y	processed_pseudogene	ENSG00000232195
40.56	2841602	2932000	Y	protein_coding	ENSG00000129824
41.70	2929001	2931120	Y	processed_pseudogene	ENSG00000229163
32.79	2934406	2934771	Y	lncRNA	ENSG00000278847
37.27	2935281	2982506	Y	protein_coding	ENSG00000067646
37.66	2966844	3002626	Y	lncRNA	ENSG00000233070
45.89	2995067	2995273	Y	processed_pseudogene	ENSG00000223600
41.97	13286638	13287378	Y	processed_pseudogene	ENSG00000215414
39.61	13083790	13095805	Y	processed_pseudogene	ENSG00000224035
40.11	13230884	13231439	Y	processed_pseudogene	ENSG00000223915
37.70	12904108	12920478	Y	protein_coding	ENSG00000067048
38.48	12930165	12948182	Y	unprocessed_pseudogene	ENSG00000234059
37.54	13234577	13480673	Y	protein_coding	ENSG00000183878
42.71	13703899	13706024	Y	protein_coding	ENSG00000154620
61.97	13985772	13986473	Y	protein_coding	ENSG00000129864
36.06	24763069	24813492	Y	protein_coding	ENSG00000187191
35.94	23129355	23199010	Y	protein_coding	ENSG00000188120
39.80	23379484	23392697	Y	unprocessed_pseudogene	ENSG00000205936
45.65	23423099	23423236	Y	snoRNA	ENSG00000251925
37.66	23462465	23472280	Y	unprocessed_pseudogene	ENSG00000225189
57.78	23523321	23525369	Y	unprocessed_pseudogene	ENSG00000230073
58.28	23549809	23551385	Y	unprocessed_pseudogene	ENSG00000236647
41.49	6865918	6911752	Y	protein_coding	ENSG00000099721
43.32	6910686	7101970	Y	protein_coding	ENSG00000092377
44.37	7100733	7106502	Y	unprocessed_pseudogene	ENSG00000232583
35.43	23219447	23291356	Y	protein_coding	ENSG00000205944
53.20	6246223	6249019	Y	protein_coding	ENSG00000168757
44.81	14639096	14640358	Y	processed_pseudogene	ENSG00000226555
33.48	14793642	14804033	Y	lncRNA	ENSG00000228787
36.96	21903618	21918042	Y	protein_coding	ENSG00000242389
38.63	14522573	14845654	Y	protein_coding	ENSG00000165246
36.13	3002887	3200509	Y	lncRNA	ENSG00000231535
41.83	25813013	25814566	Y	unprocessed_pseudogene	ENSG00000229343
35.89	25860943	25861268	Y	processed_pseudogene	ENSG00000232695
37.07	25871931	25898653	Y	unprocessed_pseudogene	ENSG00000235511
36.99	25904518	25907250	Y	unprocessed_pseudogene	ENSG00000232914
41.01	25918323	25918895	Y	processed_pseudogene	ENSG00000223655
31.76	25923388	25929826	Y	unprocessed_pseudogene	ENSG00000230854
46.34	25928979	25929142	Y	snRNA	ENSG00000252625
30.65	25933833	25935881	Y	unprocessed_pseudogene	ENSG00000227635
36.09	25943268	25954152	Y	unprocessed_pseudogene	ENSG00000237546
41.27	25975549	25988069	Y	unprocessed_pseudogene	ENSG00000172283
39.46	25991241	25991572	Y	processed_pseudogene	ENSG00000227867
40.73	25994684	25995697	Y	unprocessed_pseudogene	ENSG00000231716
30.70	26002254	26008856	Y	unprocessed_pseudogene	ENSG00000234744
31.76	26011435	26012237	Y	unprocessed_pseudogene	ENSG00000233156
38.47	26055779	26088493	Y	unprocessed_pseudogene	ENSG00000234888
37.67	26198331	26208148	Y	unprocessed_pseudogene	ENSG00000235014
42.15	26244351	26244573	Y	unprocessed_pseudogene	ENSG00000225876
45.65	26247384	26247521	Y	snoRNA	ENSG00000251796
38.74	26277923	26354418	Y	unprocessed_pseudogene	ENSG00000229238
36.54	26360989	26361092	Y	snRNA	ENSG00000252948
47.74	26400611	26401230	Y	processed_pseudogene	ENSG00000233843
34.53	26409815	26420535	Y	unprocessed_pseudogene	ENSG00000188399
43.24	26453982	26454092	Y	processed_pseudogene	ENSG00000277146
61.89	14056227	14056958	Y	protein_coding	ENSG00000129862
